,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,guests_included,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,user_type,instant_bookable_f,instant_bookable_t,cancel_pol_flexible,cancel_pol_moderate,cancel_pol_strict,cancel_pol_super_strict_30,Prop_type_Apartment,Prop_type_Bed_&_Breakfast,Prop_type_Boat,Prop_type_Camper/RV,Prop_type_Condominium,Prop_type_Dorm,Prop_type_Entire_Floor,Prop_type_Guesthouse,Prop_type_House,Prop_type_Loft,Prop_type_Other,Prop_type_Townhouse,Prop_type_Villa,Room_type_Entire_home/apt,Room_type_Private_room,Room_type_Shared_room,24-Hour_Check-in,Air_Conditioning,Breakfast,Buzzer/Wireless_Intercom,Cable_TV,Carbon_Monoxide_Detector,Cat(s),Dog(s),Doorman,Dryer,Elevator_in_Building,Essentials,Family/Kid_Friendly,Fire_Extinguisher,First_Aid_Kit,Free_Parking_on_Premises,Free_Parking_on_Street,Gym,Hair_Dryer,Hangers,Heating,Hot_Tub,Indoor_Fireplace,Internet,Iron,Kitchen,Laptop_Friendly_Workspace,Lock_on_Bedroom_Door,Other_pet(s),Paid_Parking_Off_Premises,Pets_Allowed,Pets_live_on_this_property,Pool,Safety_Card,Shampoo,Smoke_Detector,Smoking_Allowed,Suitable_for_Events,TV,Washer,Washer_/_Dryer,Wheelchair_Accessible,Wireless_Internet
11,1,1.0,1.0,1.0,57.0,40.0,1,1,17,94.0,9.0,10.0,10.0,10.0,9.0,9.0,0.48,Casual,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
12,4,1.0,2.0,2.0,93.0,40.0,1,1,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.64,Casual,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
13,5,1.0,2.0,3.0,150.0,50.0,5,2,12,97.0,10.0,10.0,10.0,10.0,9.0,10.0,4.93,Casual,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
14,2,1.5,2.0,2.0,145.0,150.0,2,3,7,91.0,9.0,9.0,10.0,9.0,9.0,9.0,0.56,Casual,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1
15,1,0.0,1.0,1.0,60.0,0.0,1,1,70,96.0,9.0,10.0,10.0,10.0,9.0,10.0,1.16,Casual,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
16,4,1.0,1.0,3.0,165.0,50.0,3,3,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,Casual,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
17,2,1.0,1.0,1.0,75.0,20.0,1,1,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.37,Casual,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1
19,2,1.0,1.0,1.0,49.0,0.0,1,5,4,95.0,9.0,10.0,10.0,10.0,9.0,10.0,0.29,Professional,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1
20,1,2.5,1.0,1.0,40.0,0.0,1,2,31,99.0,10.0,10.0,10.0,10.0,9.0,10.0,1.24,Professional,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
21,3,1.0,0.0,2.0,120.0,50.0,3,2,16,98.0,10.0,10.0,10.0,10.0,10.0,10.0,5.93,Casual,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
22,2,0.0,1.0,1.0,70.0,0.0,1,1,38,98.0,9.0,10.0,10.0,10.0,9.0,9.0,0.63,Casual,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
23,8,1.0,3.0,5.0,150.0,100.0,6,3,21,88.0,9.0,9.0,9.0,10.0,9.0,10.0,1.58,Casual,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1
24,5,3.5,4.0,3.0,175.0,100.0,1,14,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.07,Casual,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
25,2,1.5,1.0,1.0,95.0,10.0,1,1,40,96.0,10.0,10.0,10.0,10.0,9.0,10.0,1.13,Casual,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1
26,2,1.0,1.0,1.0,90.0,0.0,1,1,43,95.0,10.0,9.0,10.0,10.0,9.0,9.0,1.06,Casual,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
27,2,1.0,1.0,1.0,95.0,15.0,1,2,33,99.0,10.0,10.0,10.0,10.0,10.0,10.0,4.02,Casual,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
28,2,1.0,1.0,2.0,100.0,0.0,1,1,11,90.0,9.0,8.0,10.0,9.0,9.0,9.0,0.21,Casual,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
